Name,Email,Phone Number,Place,Favorite Pizza Type,Preferred Pizza Size,Preferred Pizza Crust,Favorite Pizza Toppings,Preferred Sauce Type,Spice Level (1-5),Dietary Restriction,How often do you eat pizza?,Preferred Day to Order Pizza,Do you prefer delivery or dine-in?,Favorite Pizza Brand,Do you customize your pizza?,What motivates your choice?,Would you recommend your favorite place?
Dr. Claudia Walker,gary.beck@example.com,75129835485,Danielleside,BBQ Chicken,Large,Thick Crust,Olives,Pesto,4,Gluten-Free,Once a week,Weekdays,Dine-In,Others,No,Delivery Speed,No
Patrick Ward,jamie.avery@example.com,77386476813,Lake Cindyland,BBQ Chicken,Small,Thick Crust,Bacon,BBQ,1,Lactose Intolerant,Once a week,Any day,Dine-In,Others,Yes,Taste,Yes
Jose Kramer,stacy.guzman@example.com,75461890125,Williamschester,Hawaiian,Extra Large,Cheese-Stuffed Crust,Onions,BBQ,4,None,Rarely,Weekdays,Delivery,Domino's,No,Taste,No
Jaime Stewart,denise.singh@example.com,83225022535,Isaacburgh,Margherita,Large,Thin Crust,Sausage,BBQ,1,None,Occasionally,Any day,Delivery,Local Pizzeria,Yes,Delivery Speed,Yes
Jennifer Le,kathy.smith@example.com,73225025191,North James,BBQ Chicken,Small,Cheese-Stuffed Crust,Pepperoni,Pesto,3,Gluten-Free,Once a month,Weekends,Takeaway,Local Pizzeria,No,Taste,No
Walter Stevenson,darren.king@example.com,78563997435,New Jayhaven,Pepperoni,Small,Cheese-Stuffed Crust,Olives,Alfredo,3,Lactose Intolerant,Once a week,Weekends,Dine-In,Domino's,No,Variety of Toppings,No
Michael Brown MD,amy.mckinney@example.com,71178000774,Butlerfort,Hawaiian,Extra Large,Thick Crust,Pineapple,Pesto,4,Lactose Intolerant,Once a month,Any day,Dine-In,Local Pizzeria,No,Price,Yes
Michael Trevino,dawn.nguyen@example.com,93864515677,Kimberlystad,Hawaiian,Large,Cheese-Stuffed Crust,Sausage,BBQ,5,Lactose Intolerant,Once a month,Any day,Takeaway,Local Pizzeria,No,Offers/Discounts,No
Shawn Rogers,alexandra.allen@example.com,91752041443,New Meghan,Pepperoni,Large,Thick Crust,Sausage,Pesto,1,Lactose Intolerant,Occasionally,Weekends,Delivery,Local Pizzeria,No,Delivery Speed,Yes
Mrs. Jennifer Ramirez,kara.castillo@example.com,91381422077,Robertshire,Margherita,Medium,Thick Crust,Bacon,Alfredo,4,Lactose Intolerant,Once a month,Weekdays,Takeaway,Others,No,Delivery Speed,No
Pamela Hansen,erika.ward@example.com,99819649355,Port Toddhaven,Margherita,Small,Cheese-Stuffed Crust,Sausage,Tomato,4,Gluten-Free,Once a week,Weekends,Takeaway,Domino's,No,Taste,No
Daniel Page,mr..christopher@example.com,99570177239,Lake Staceyton,Pepperoni,Small,Cheese-Stuffed Crust,Sausage,Tomato,2,Vegan,Occasionally,Any day,Delivery,Local Pizzeria,Yes,Delivery Speed,No
Regina Wong,melissa.shepherd@example.com,85895916995,Elizabethchester,Pepperoni,Medium,Thick Crust,Onions,Pesto,3,None,Once a week,Any day,Delivery,Domino's,No,Price,Yes
Kelly Frost,james.mayer@example.com,94867783795,South Latasha,Pepperoni,Small,Cheese-Stuffed Crust,Onions,BBQ,1,None,Once a week,Weekends,Delivery,Domino's,No,Price,Yes
David Cook,david.moore@example.com,96965584014,New Ashley,Hawaiian,Small,Thin Crust,Sausage,Tomato,4,Lactose Intolerant,Once a week,Weekends,Delivery,Local Pizzeria,Yes,Delivery Speed,Yes
Matthew Hart,sara.potter@example.com,74237894300,Davidstad,Veggie Supreme,Extra Large,Thin Crust,Sausage,Pesto,3,Vegan,Occasionally,Any day,Delivery,Domino's,Yes,Offers/Discounts,No
Jacob Daniels,jennifer.collins@example.com,88215632694,Olsonfort,Veggie Supreme,Medium,Cheese-Stuffed Crust,Bacon,BBQ,1,None,Rarely,Weekdays,Takeaway,Others,No,Price,Yes
Renee Soto,katie.deleon@example.com,96279409116,Garciaborough,Hawaiian,Extra Large,Thin Crust,Olives,Pesto,5,Gluten-Free,Once a month,Any day,Delivery,Local Pizzeria,Yes,Variety of Toppings,Yes
Micheal Sherman,james.evans@example.com,83813785503,East Ronaldport,Hawaiian,Medium,Thin Crust,Sausage,Alfredo,5,Lactose Intolerant,Once a month,Any day,Takeaway,Domino's,No,Variety of Toppings,No
Angela Phillips,danielle.davis@example.com,87470212918,North Duanemouth,BBQ Chicken,Medium,Cheese-Stuffed Crust,Sausage,Alfredo,1,Lactose Intolerant,Occasionally,Weekdays,Delivery,Local Pizzeria,Yes,Taste,No
Amber Smith,mrs..jenna@example.com,76939080686,Lake Steven,Pepperoni,Large,Gluten-Free Crust,Pineapple,Pesto,1,Vegan,Once a week,Weekdays,Dine-In,Domino's,No,Taste,Yes
Alyssa Wilson,shawn.ward@example.com,79495246861,West Theresamouth,Hawaiian,Large,Gluten-Free Crust,Onions,Tomato,1,None,Occasionally,Weekends,Delivery,Domino's,Yes,Price,Yes
Amy Preston,martin.welch@example.com,79042200867,South Michelestad,Veggie Supreme,Extra Large,Cheese-Stuffed Crust,Onions,BBQ,4,None,Occasionally,Weekdays,Delivery,Pizza Hut,No,Price,Yes
Stephanie Jones,matthew.ramirez@example.com,81614123940,Markport,Margherita,Large,Cheese-Stuffed Crust,Bacon,Alfredo,5,None,Once a month,Any day,Takeaway,Pizza Hut,No,Taste,Yes
Tommy Price,timothy.stephens@example.com,88875174861,Foleyside,Hawaiian,Large,Thin Crust,Mushrooms,Pesto,2,Lactose Intolerant,Once a month,Weekends,Dine-In,Local Pizzeria,Yes,Delivery Speed,No
Lindsey Rice,taylor.johnson@example.com,84674707870,Beckershire,BBQ Chicken,Small,Thick Crust,Olives,Alfredo,4,Gluten-Free,Occasionally,Weekends,Dine-In,Local Pizzeria,Yes,Offers/Discounts,Yes
Susan Jackson,brian.johnston@example.com,97665347195,Reneemouth,Pepperoni,Medium,Thin Crust,Sausage,Pesto,2,Lactose Intolerant,Once a month,Weekends,Dine-In,Pizza Hut,No,Variety of Toppings,No
Andrew Miller,karen.pratt@example.com,84551117365,West Davidberg,Hawaiian,Extra Large,Cheese-Stuffed Crust,Pineapple,Tomato,4,Vegan,Once a month,Any day,Takeaway,Others,Yes,Delivery Speed,Yes
Wendy Rogers,nathan.edwards@example.com,73464559005,South Dan,BBQ Chicken,Extra Large,Thin Crust,Olives,Pesto,2,Vegan,Once a month,Weekdays,Dine-In,Pizza Hut,No,Offers/Discounts,No
Brandon Henderson,victoria.rodriguez@example.com,77294938398,New Michaelfurt,Veggie Supreme,Extra Large,Gluten-Free Crust,Pepperoni,Alfredo,5,Lactose Intolerant,Occasionally,Any day,Takeaway,Local Pizzeria,Yes,Variety of Toppings,Yes
Patrick Pineda,stephanie.moreno@example.com,84957284316,Jacobshire,Hawaiian,Large,Thick Crust,Olives,Pesto,4,Vegan,Once a month,Any day,Takeaway,Others,No,Offers/Discounts,Yes
Shawn King,larry.mendez@example.com,85631895131,South Nicole,BBQ Chicken,Small,Thin Crust,Mushrooms,Pesto,2,None,Occasionally,Weekdays,Dine-In,Others,Yes,Taste,Yes
Thomas Price,amy.pratt@example.com,75565788999,South Robert,Veggie Supreme,Extra Large,Thick Crust,Sausage,Pesto,5,None,Once a month,Any day,Delivery,Others,Yes,Offers/Discounts,No
Barbara Garcia,jessica.munoz@example.com,79962809595,Kathrynmouth,Margherita,Large,Thin Crust,Onions,Pesto,4,None,Rarely,Weekends,Takeaway,Local Pizzeria,No,Delivery Speed,Yes
John Coleman,trevor.leonard@example.com,95990895643,North Jennifer,Veggie Supreme,Large,Thin Crust,Olives,BBQ,2,Vegan,Occasionally,Weekends,Delivery,Pizza Hut,Yes,Offers/Discounts,No
Michael Castillo,jordan.thomas@example.com,72197181332,Jenniferfort,Pepperoni,Small,Gluten-Free Crust,Onions,Pesto,1,Gluten-Free,Rarely,Weekends,Delivery,Local Pizzeria,No,Taste,Yes
Joseph Jackson,vickie.wells@example.com,99222313473,Shanechester,Pepperoni,Extra Large,Thin Crust,Bacon,Tomato,3,Lactose Intolerant,Occasionally,Weekends,Takeaway,Others,No,Offers/Discounts,Yes
Mrs. Erica Huang,angela.jenkins@example.com,96021505709,Port Nicolechester,Hawaiian,Large,Cheese-Stuffed Crust,Mushrooms,BBQ,3,None,Once a week,Any day,Dine-In,Pizza Hut,Yes,Price,Yes
Timothy Gomez,nicole.wilson@example.com,86159775838,Sheltonport,Hawaiian,Medium,Thin Crust,Bacon,Tomato,5,Vegan,Rarely,Weekends,Takeaway,Local Pizzeria,Yes,Delivery Speed,No
Dean Bell,linda.cook@example.com,74246456854,Port Tiffany,Margherita,Large,Gluten-Free Crust,Sausage,Tomato,4,Vegan,Rarely,Weekdays,Takeaway,Domino's,No,Offers/Discounts,No
Brianna Carpenter,mrs..christine@example.com,95524802578,Port Emily,Pepperoni,Extra Large,Thick Crust,Bacon,Pesto,4,Vegan,Once a week,Any day,Takeaway,Domino's,No,Offers/Discounts,Yes
Raymond Johnson,amy.riley@example.com,74546528261,North Rogerport,Hawaiian,Extra Large,Cheese-Stuffed Crust,Bacon,Alfredo,1,Vegan,Occasionally,Weekends,Takeaway,Domino's,Yes,Delivery Speed,Yes
Candice Rodriguez,adam.barker@example.com,94269398101,Mcleanhaven,Margherita,Small,Cheese-Stuffed Crust,Pineapple,BBQ,4,Vegan,Once a month,Weekdays,Takeaway,Others,No,Taste,No
Gabrielle James,larry.rodriguez@example.com,74442031818,Adamburgh,Margherita,Extra Large,Cheese-Stuffed Crust,Onions,Tomato,5,None,Once a week,Any day,Dine-In,Local Pizzeria,Yes,Taste,No
Tracy Nielsen,tiffany.crawford@example.com,77916937272,Randybury,Margherita,Large,Thin Crust,Pepperoni,Alfredo,1,None,Once a month,Any day,Takeaway,Others,Yes,Offers/Discounts,No
Tiffany Decker,james.ryan@example.com,99162717484,Williambury,Pepperoni,Large,Thin Crust,Pineapple,Pesto,1,Gluten-Free,Once a week,Weekends,Takeaway,Pizza Hut,No,Price,Yes
Natalie Stevenson,nicole.meyer@example.com,87936778021,Josephchester,BBQ Chicken,Small,Thin Crust,Onions,BBQ,3,Lactose Intolerant,Once a month,Any day,Takeaway,Local Pizzeria,No,Variety of Toppings,No
Tiffany Robbins,melissa.bailey@example.com,71661333648,Lake Lisa,Margherita,Extra Large,Thick Crust,Mushrooms,BBQ,4,None,Rarely,Weekdays,Takeaway,Local Pizzeria,No,Offers/Discounts,Yes
Julie Case,meagan.lewis@example.com,95125158720,Churchchester,Pepperoni,Small,Thin Crust,Pepperoni,Tomato,5,Lactose Intolerant,Rarely,Weekends,Delivery,Local Pizzeria,No,Delivery Speed,Yes
Joshua Taylor,harry.fuller@example.com,79296092181,Robinsonshire,Pepperoni,Extra Large,Thick Crust,Mushrooms,Tomato,2,Vegan,Rarely,Weekends,Takeaway,Local Pizzeria,Yes,Offers/Discounts,Yes
Kelli Lynch,austin.barker@example.com,93909452347,North Theresa,Pepperoni,Medium,Thick Crust,Sausage,BBQ,5,Gluten-Free,Once a week,Any day,Dine-In,Local Pizzeria,Yes,Delivery Speed,Yes
Thomas Stuart,tammy.alexander@example.com,79162176696,Port Sonya,Hawaiian,Small,Gluten-Free Crust,Onions,Pesto,5,Vegan,Occasionally,Weekdays,Takeaway,Others,No,Offers/Discounts,No
Sara Griffin,david.love@example.com,98214461723,South Toni,Veggie Supreme,Small,Cheese-Stuffed Crust,Pepperoni,BBQ,5,Gluten-Free,Occasionally,Any day,Delivery,Others,No,Taste,Yes
Christopher Roberts,lindsey.sullivan@example.com,81130836818,Lake Randyville,Margherita,Large,Cheese-Stuffed Crust,Onions,Alfredo,2,Lactose Intolerant,Once a month,Weekdays,Delivery,Domino's,Yes,Taste,Yes
Monica West,melissa.peck@example.com,85786815169,Grahamberg,Hawaiian,Small,Thick Crust,Sausage,Pesto,4,Vegan,Once a month,Weekends,Delivery,Domino's,No,Offers/Discounts,Yes
Veronica Richard,jermaine.williams@example.com,86555421178,Scotthaven,BBQ Chicken,Medium,Cheese-Stuffed Crust,Olives,Alfredo,4,Lactose Intolerant,Once a week,Weekends,Delivery,Local Pizzeria,Yes,Variety of Toppings,No
Sarah Smith,robert.mendoza@example.com,85871112700,Owensborough,BBQ Chicken,Extra Large,Thick Crust,Sausage,Tomato,4,Gluten-Free,Once a week,Any day,Dine-In,Others,Yes,Offers/Discounts,No
Randall Davenport,tina.richardson@example.com,89111110302,North Heather,BBQ Chicken,Medium,Thick Crust,Pineapple,BBQ,5,None,Occasionally,Any day,Dine-In,Local Pizzeria,Yes,Delivery Speed,Yes
Harry Pollard,karl.lee@example.com,99541150618,Adamsside,Hawaiian,Extra Large,Thick Crust,Bacon,Tomato,5,Lactose Intolerant,Once a week,Any day,Dine-In,Others,No,Offers/Discounts,No
Ian Davies MD,christina.price@example.com,74364170241,West Bruceport,BBQ Chicken,Small,Gluten-Free Crust,Pepperoni,Tomato,4,Vegan,Once a month,Any day,Delivery,Others,No,Delivery Speed,No
Brittany Hale,nicholas.ramirez@example.com,84885599746,Millerton,Pepperoni,Extra Large,Thick Crust,Olives,Alfredo,5,None,Occasionally,Weekends,Dine-In,Others,Yes,Price,Yes
Anna Cook,david.king@example.com,76818309874,Leahmouth,Hawaiian,Medium,Thin Crust,Olives,Alfredo,3,Gluten-Free,Once a month,Any day,Takeaway,Domino's,Yes,Offers/Discounts,No
Mr. Shawn Williams,dennis.alexander@example.com,88810932110,North Jenniferville,BBQ Chicken,Large,Thin Crust,Sausage,BBQ,5,Gluten-Free,Occasionally,Any day,Dine-In,Local Pizzeria,Yes,Taste,No
Brittany Johnson,andrew.wilkinson@example.com,73183444742,West Marcus,BBQ Chicken,Medium,Cheese-Stuffed Crust,Olives,BBQ,2,Vegan,Once a month,Weekends,Dine-In,Local Pizzeria,No,Offers/Discounts,No
Caleb Glass,lisa.young@example.com,97728110966,Hugheston,Hawaiian,Medium,Thin Crust,Pineapple,Alfredo,3,None,Once a week,Weekdays,Dine-In,Pizza Hut,No,Delivery Speed,Yes
Raymond Spencer,kimberly.thompson@example.com,98875464946,Anthonyshire,Veggie Supreme,Extra Large,Cheese-Stuffed Crust,Pepperoni,Pesto,2,Gluten-Free,Once a month,Weekdays,Dine-In,Pizza Hut,Yes,Variety of Toppings,Yes
Thomas Francis,lisa.bowen@example.com,99945878682,West Michaelmouth,Pepperoni,Medium,Cheese-Stuffed Crust,Mushrooms,Alfredo,4,Lactose Intolerant,Once a month,Any day,Takeaway,Pizza Hut,Yes,Variety of Toppings,Yes
Brian Reese,victoria.hudson@example.com,87471789839,Annabury,Pepperoni,Extra Large,Gluten-Free Crust,Bacon,BBQ,2,Vegan,Once a month,Weekdays,Takeaway,Pizza Hut,Yes,Price,No
Michael Donovan,christopher.sawyer@example.com,99937703536,South Kimberlyfurt,BBQ Chicken,Small,Thin Crust,Pineapple,Tomato,3,Lactose Intolerant,Once a week,Weekends,Delivery,Pizza Hut,No,Taste,Yes
Cole Ferguson,cynthia.murray@example.com,76987477342,Jimenezfurt,BBQ Chicken,Small,Thick Crust,Onions,Alfredo,3,None,Once a week,Any day,Takeaway,Pizza Hut,Yes,Offers/Discounts,No
Richard Roberts,daniel.williams@example.com,78188732927,Port Emilyside,Margherita,Small,Cheese-Stuffed Crust,Pepperoni,Pesto,2,Lactose Intolerant,Rarely,Weekends,Dine-In,Domino's,Yes,Offers/Discounts,Yes
Amanda Hernandez,david.macdonald@example.com,89010932158,East Gregoryside,Pepperoni,Medium,Gluten-Free Crust,Sausage,Tomato,4,Gluten-Free,Once a month,Weekdays,Dine-In,Local Pizzeria,Yes,Taste,No
Amy Hayes,nathaniel.ross@example.com,86566928335,New Phillipport,Hawaiian,Large,Thin Crust,Olives,Alfredo,2,Gluten-Free,Once a week,Any day,Delivery,Domino's,Yes,Offers/Discounts,Yes
Annette Jacobs,ernest.little@example.com,81977915478,East Mary,Hawaiian,Small,Thick Crust,Pepperoni,BBQ,3,Lactose Intolerant,Once a month,Weekdays,Dine-In,Local Pizzeria,Yes,Offers/Discounts,Yes
Rebecca Dunn,john.graham@example.com,94285392806,Lauraview,Margherita,Extra Large,Gluten-Free Crust,Olives,BBQ,1,None,Once a month,Weekdays,Delivery,Domino's,No,Taste,Yes
Angela Brewer,miss.nancy@example.com,99966431503,Stewartfort,Veggie Supreme,Extra Large,Gluten-Free Crust,Onions,Pesto,1,Vegan,Once a month,Any day,Takeaway,Others,No,Price,Yes
Jimmy Robertson,michael.salazar@example.com,99581375039,New Benjaminshire,Veggie Supreme,Small,Thin Crust,Olives,BBQ,1,None,Occasionally,Weekends,Takeaway,Pizza Hut,Yes,Delivery Speed,Yes
Steven Potts,jeffrey.taylor@example.com,85122636745,Westmouth,Pepperoni,Large,Thick Crust,Mushrooms,Tomato,4,Gluten-Free,Once a week,Weekdays,Takeaway,Others,Yes,Price,No
Alan Lopez,dustin.marquez@example.com,95497857556,East Dianaland,BBQ Chicken,Medium,Cheese-Stuffed Crust,Bacon,BBQ,3,Lactose Intolerant,Rarely,Weekends,Delivery,Domino's,Yes,Taste,No
Monica Walsh,karen.reynolds@example.com,85927300797,Brianfurt,Veggie Supreme,Small,Cheese-Stuffed Crust,Pineapple,Alfredo,4,None,Occasionally,Weekends,Delivery,Pizza Hut,Yes,Price,No
John Davis,luis.campbell@example.com,91141193988,Liushire,BBQ Chicken,Large,Cheese-Stuffed Crust,Pepperoni,Alfredo,4,Lactose Intolerant,Rarely,Weekends,Dine-In,Others,No,Delivery Speed,Yes
Tammy Brady,bradley.stewart@example.com,92367630660,Port Meredithburgh,Margherita,Small,Gluten-Free Crust,Onions,Tomato,3,None,Once a month,Any day,Takeaway,Others,Yes,Variety of Toppings,Yes
William Graves,lisa.whitehead@example.com,98012496678,North Kellyview,BBQ Chicken,Extra Large,Gluten-Free Crust,Sausage,Pesto,4,Lactose Intolerant,Once a month,Any day,Delivery,Domino's,No,Offers/Discounts,No
Richard Burns,david.klein@example.com,96003148387,Port Amyville,Veggie Supreme,Large,Cheese-Stuffed Crust,Pineapple,Alfredo,5,Lactose Intolerant,Rarely,Any day,Takeaway,Pizza Hut,No,Price,Yes
Erika Hatfield,jared.miller@example.com,98035223787,Parkerstad,BBQ Chicken,Large,Cheese-Stuffed Crust,Mushrooms,Alfredo,2,Gluten-Free,Occasionally,Weekends,Dine-In,Others,Yes,Taste,Yes
Jason White,donna.taylor@example.com,78090021370,Jasminefurt,BBQ Chicken,Extra Large,Thick Crust,Mushrooms,Tomato,1,Gluten-Free,Rarely,Weekends,Delivery,Domino's,Yes,Price,No
Nicole Glover,wanda.garcia@example.com,76296236766,Samanthachester,Pepperoni,Medium,Thick Crust,Mushrooms,BBQ,1,Gluten-Free,Once a week,Weekdays,Takeaway,Domino's,No,Price,No
Jamie Gutierrez,diana.gutierrez@example.com,82279243670,North Brittanyfurt,Pepperoni,Large,Thick Crust,Olives,Pesto,5,Gluten-Free,Once a week,Weekdays,Takeaway,Domino's,No,Delivery Speed,Yes
Mary Robinson,cory.clark@example.com,82924020600,Kathleenhaven,Veggie Supreme,Small,Cheese-Stuffed Crust,Bacon,Tomato,2,Lactose Intolerant,Once a month,Weekdays,Takeaway,Domino's,No,Variety of Toppings,Yes
Gary Long,mark.holmes@example.com,86927083265,Davidview,Pepperoni,Medium,Cheese-Stuffed Crust,Pineapple,Alfredo,1,Lactose Intolerant,Once a week,Weekdays,Takeaway,Others,Yes,Taste,No
Evelyn Meadows,tyler.rivers@example.com,75844174696,South Jacquelineland,Hawaiian,Medium,Gluten-Free Crust,Mushrooms,Tomato,4,Gluten-Free,Occasionally,Weekdays,Delivery,Pizza Hut,Yes,Delivery Speed,No
Katelyn Ortiz,michael.browning@example.com,84127765803,Jamestown,Margherita,Extra Large,Thick Crust,Mushrooms,Pesto,5,Vegan,Rarely,Weekends,Delivery,Pizza Hut,No,Delivery Speed,Yes
Tina Houston,monica.martinez@example.com,92259477457,South Kimberly,Margherita,Medium,Gluten-Free Crust,Olives,Alfredo,2,None,Once a month,Weekdays,Takeaway,Others,No,Taste,No
Allison Dennis,carla.torres@example.com,76934606125,Piercemouth,Hawaiian,Small,Cheese-Stuffed Crust,Pineapple,Pesto,5,Gluten-Free,Occasionally,Weekends,Dine-In,Local Pizzeria,Yes,Price,No
Glenn Bennett,cheryl.walker@example.com,77387834308,Montoyatown,Veggie Supreme,Large,Thin Crust,Mushrooms,Pesto,3,None,Once a week,Weekends,Dine-In,Domino's,No,Taste,No
Dominic Bowen,kelly.lee@example.com,97686336172,Lake Christineside,Pepperoni,Large,Gluten-Free Crust,Sausage,Tomato,3,Lactose Intolerant,Rarely,Any day,Dine-In,Others,Yes,Delivery Speed,No
Matthew Jones,jonathan.reilly@example.com,78182823737,Richardfurt,BBQ Chicken,Small,Cheese-Stuffed Crust,Pepperoni,Pesto,2,Gluten-Free,Occasionally,Weekdays,Dine-In,Pizza Hut,No,Delivery Speed,Yes
Christina Watts,shannon.matthews@example.com,91666007100,New Danny,Veggie Supreme,Large,Thick Crust,Mushrooms,Tomato,5,None,Once a month,Weekends,Dine-In,Domino's,No,Offers/Discounts,Yes
Michael Hicks,alyssa.hood@example.com,82325326759,New Courtneyview,Veggie Supreme,Medium,Thick Crust,Olives,BBQ,4,Lactose Intolerant,Occasionally,Weekends,Takeaway,Local Pizzeria,No,Offers/Discounts,No
Mark Weber,daniel.castro@example.com,73838155575,North Angelaton,Veggie Supreme,Large,Thin Crust,Pepperoni,BBQ,3,None,Once a month,Weekdays,Takeaway,Domino's,No,Variety of Toppings,No
Sherri Owens,paul.cunningham@example.com,82791323043,Fowlerbury,Veggie Supreme,Extra Large,Thin Crust,Pineapple,Tomato,3,Gluten-Free,Occasionally,Weekdays,Dine-In,Local Pizzeria,No,Price,Yes
David Sanders,rodney.english@example.com,71172300965,Kimland,Margherita,Medium,Thin Crust,Bacon,Tomato,5,Vegan,Occasionally,Weekends,Takeaway,Local Pizzeria,Yes,Variety of Toppings,No
Debbie Gonzalez,ashley.crawford@example.com,99522034027,Williamsfurt,Margherita,Medium,Thick Crust,Onions,Pesto,5,Vegan,Once a week,Any day,Takeaway,Pizza Hut,Yes,Price,No
Katelyn Williams,elizabeth.todd@example.com,88967119226,Brewerhaven,BBQ Chicken,Large,Thick Crust,Onions,BBQ,3,None,Occasionally,Weekends,Takeaway,Pizza Hut,Yes,Offers/Discounts,Yes
Linda Bowers,brian.taylor@example.com,97674171529,New Staceyfort,Hawaiian,Medium,Gluten-Free Crust,Olives,BBQ,2,None,Once a month,Weekends,Takeaway,Local Pizzeria,No,Offers/Discounts,Yes
Nicole Gilmore,sherri.powell@example.com,99223903847,Lake Katherineview,Margherita,Medium,Thick Crust,Pepperoni,Pesto,3,Gluten-Free,Rarely,Any day,Takeaway,Domino's,Yes,Offers/Discounts,No
Arthur Phillips,nancy.campbell@example.com,88148545311,West George,Hawaiian,Extra Large,Gluten-Free Crust,Pineapple,BBQ,5,Lactose Intolerant,Once a month,Weekdays,Dine-In,Others,Yes,Delivery Speed,No
Kelly Barajas,phillip.nelson@example.com,86164195951,Brookeport,Veggie Supreme,Extra Large,Thin Crust,Olives,BBQ,3,None,Once a week,Weekends,Delivery,Others,No,Price,Yes
Stephen Arnold,jose.mckay@example.com,72897460248,Brendaborough,Hawaiian,Large,Cheese-Stuffed Crust,Pineapple,Alfredo,4,Gluten-Free,Once a month,Weekdays,Delivery,Pizza Hut,No,Delivery Speed,Yes
Tim Reynolds,sheryl.crawford@example.com,78199825011,South Tammytown,Pepperoni,Large,Gluten-Free Crust,Pineapple,Tomato,2,None,Once a month,Weekdays,Delivery,Domino's,Yes,Offers/Discounts,No
Micheal Williamson,jessica.harper@example.com,93531267227,Lake Madison,BBQ Chicken,Medium,Thick Crust,Sausage,Tomato,2,Lactose Intolerant,Occasionally,Weekdays,Dine-In,Pizza Hut,No,Offers/Discounts,Yes
Jimmy Perez,heather.williams@example.com,71463226294,Lake Peter,Pepperoni,Small,Thick Crust,Pineapple,BBQ,2,Gluten-Free,Occasionally,Weekdays,Takeaway,Domino's,No,Variety of Toppings,Yes
James Barr,debra.clark@example.com,96495780076,Pattersonville,Veggie Supreme,Medium,Thin Crust,Pepperoni,Alfredo,3,Vegan,Once a week,Weekdays,Delivery,Local Pizzeria,No,Variety of Toppings,No
Kevin Price,veronica.hopkins@example.com,74598617531,East Emilyside,Veggie Supreme,Large,Thick Crust,Pineapple,BBQ,2,Lactose Intolerant,Once a week,Weekdays,Dine-In,Domino's,Yes,Taste,No
